;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
1639;7.9;0.22;0.49;3.8;0.042;26.0;105.0;0.993;3.1;0.39;10.5;good
108;7.1;0.23;0.35;16.5;0.04;60.0;171.0;0.9990000000000001;3.16;0.59;9.1;good
2079;7.4;0.45;0.32;7.1;0.044000000000000004;17.0;117.0;0.9962;3.32;0.41;10.4;poor
3197;7.9;0.34;0.44;6.5;0.027000000000000003;47.0;126.0;0.99124;2.96;0.37;12.5;good
3278;6.6;0.38;0.36;9.2;0.061;42.0;214.0;0.9976;3.31;0.56;9.4;good
1482;6.7;0.16;0.49;2.4;0.046;57.0;187.0;0.9952;3.62;0.81;10.4;good
3753;6.6;0.27;0.33;1.4;0.042;24.0;183.0;0.99215;3.29;0.46;10.7;good
4831;5.8;0.38;0.26;1.1;0.057999999999999996;20.0;140.0;0.99271;3.27;0.43;9.7;good
22;6.8;0.26;0.42;1.7;0.049;41.0;122.0;0.993;3.47;0.48;10.5;excellent
1103;7.9;0.29;0.39;6.7;0.036000000000000004;6.0;117.0;0.9938;3.12;0.42;10.7;good
4607;6.6;0.28;0.3;12.9;0.033;31.0;177.0;0.99479;3.12;0.39;11.2;good
3320;7.5;0.29;0.36;15.7;0.05;29.0;124.0;0.9968;3.06;0.54;10.4;good
3681;7.0;0.22;0.26;9.2;0.027000000000000003;37.0;122.0;0.9922799999999999;3.06;0.34;12.5;excellent
2883;6.8;0.475;0.33;3.95;0.047;16.0;81.0;0.98988;3.23;0.53;13.4;excellent
4288;7.0;0.2;0.33;4.7;0.03;25.0;76.0;0.9920200000000001;2.88;0.54;10.5;good
2907;5.7;0.21;0.25;1.1;0.035;26.0;81.0;0.9902;3.31;0.52;11.4;good
3045;5.7;0.12;0.26;5.5;0.034;21.0;99.0;0.99324;3.09;0.57;9.9;good
3811;7.2;0.28;0.38;2.0;0.052000000000000005;23.0;156.0;0.9912;3.13;0.52;11.1;good
298;7.5;0.17;0.44;11.3;0.046;65.0;146.0;0.997;3.17;0.45;10.0;good
1330;8.3;0.21;0.41;2.2;0.05;24.0;108.0;0.9940000000000001;2.85;0.45;9.5;good
3642;6.0;0.25;0.4;5.7;0.052000000000000005;56.0;152.0;0.99398;3.16;0.88;10.5;good
437;6.6;0.16;0.32;1.4;0.035;49.0;186.0;0.9906;3.35;0.64;12.4;excellent
1227;6.9;0.18;0.38;6.5;0.039;20.0;110.0;0.9943;3.1;0.42;10.5;good
273;6.6;0.58;0.3;5.1;0.057;30.0;123.0;0.9949;3.24;0.38;9.0;good
4660;6.6;0.33;0.41;2.0;0.027000000000000003;14.0;79.0;0.9906299999999999;3.27;0.63;12.4;good
2866;5.6;0.18;0.58;1.25;0.034;29.0;129.0;0.9898399999999999;3.51;0.6;12.0;excellent
3715;6.5;0.35;0.38;7.4;0.036000000000000004;20.0;196.0;0.9971200000000001;3.47;0.48;9.1;good
120;5.9;0.36;0.04;5.7;0.046;21.0;87.0;0.9934;3.22;0.51;10.2;good
4128;6.6;0.33;0.32;15.6;0.054000000000000006;62.0;227.0;0.99734;3.25;0.56;10.4;good
487;6.6;0.34;0.28;1.3;0.035;32.0;90.0;0.9916;3.1;0.42;10.7;good
1798;6.8;0.23;0.29;15.4;0.073;56.0;173.0;0.9984;3.06;0.41;8.7;good
4176;6.8;0.24;0.33;3.2;0.049;68.0;161.0;0.99324;3.1;0.69;10.2;good
2293;7.3;0.4;0.28;6.5;0.037000000000000005;26.0;97.0;0.9914799999999999;3.16;0.58;12.6;excellent
409;8.2;0.28;0.42;1.8;0.031;30.0;93.0;0.9917;3.09;0.39;11.4;good
4541;6.0;0.23;0.34;1.3;0.025;23.0;111.0;0.98961;3.36;0.37;12.7;good
2541;9.0;0.26;0.34;6.7;0.028999999999999998;21.0;162.0;0.99497;3.08;0.5;10.6;good
2710;7.8;0.25;0.34;13.7;0.044000000000000004;66.0;184.0;0.99976;3.22;0.75;8.9;good
4766;6.4;0.32;0.25;5.0;0.055;28.0;138.0;0.9917100000000001;3.27;0.5;12.4;excellent
4870;6.1;0.32;0.28;6.6;0.021;29.0;132.0;0.9918799999999999;3.15;0.36;11.45;excellent
3851;5.9;0.17;0.29;3.1;0.03;32.0;123.0;0.98913;3.41;0.33;13.7;excellent
3689;7.0;0.22;0.26;9.2;0.027000000000000003;37.0;122.0;0.9922799999999999;3.06;0.34;12.5;excellent
4641;6.6;0.26;0.36;1.2;0.035;43.0;126.0;0.9909399999999999;3.01;0.63;11.4;good
4679;4.7;0.335;0.14;1.3;0.036000000000000004;69.0;168.0;0.9921200000000001;3.47;0.46;10.5;good
1922;7.0;0.12;0.19;4.9;0.055;27.0;127.0;0.9953;3.29;0.41;9.4;good
497;6.8;0.23;0.32;1.6;0.026000000000000002;43.0;147.0;0.9904;3.29;0.54;12.5;good
1607;5.8;0.19;0.49;4.9;0.04;44.0;118.0;0.9935;3.34;0.38;9.5;excellent
3358;6.7;0.36;0.28;8.3;0.034;29.0;81.0;0.99151;2.96;0.39;12.5;good
4166;5.8;0.23;0.31;3.5;0.044000000000000004;35.0;158.0;0.98998;3.19;0.37;12.1;excellent
756;5.8;0.25;0.28;11.1;0.055999999999999994;45.0;175.0;0.99755;3.42;0.43;9.5;good
1704;6.7;0.31;0.42;6.4;0.057;25.0;148.0;0.9955;3.16;0.45;9.6;good
3269;6.6;0.38;0.36;9.2;0.061;42.0;214.0;0.9976;3.31;0.56;9.4;good
552;7.8;0.28;0.34;1.6;0.027999999999999997;32.0;118.0;0.9901;3.0;0.38;12.1;excellent
3088;6.3;0.37;0.37;1.5;0.024;12.0;76.0;0.9887600000000001;2.94;0.39;12.3;good
