;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
2061;6.7;0.23;0.33;1.8;0.036000000000000004;23.0;96.0;0.9925;3.32;0.4;10.8;good
4759;6.6;0.17;0.26;7.4;0.052000000000000005;45.0;128.0;0.9938799999999999;3.16;0.37;10.0;good
4335;7.3;0.19;0.27;13.9;0.057;45.0;155.0;0.9980700000000001;2.94;0.41;8.8;excellent
188;6.8;0.53;0.35;3.8;0.034;26.0;109.0;0.9906;3.26;0.57;12.7;excellent
3901;4.8;0.65;0.12;1.1;0.013000000000000001;4.0;10.0;0.99246;3.32;0.36;13.5;poor
677;5.8;0.32;0.38;4.75;0.033;23.0;94.0;0.991;3.42;0.42;11.8;excellent
1580;9.8;0.31;0.49;15.4;0.046;13.0;119.0;1.0004;3.18;0.45;9.5;good
2321;4.6;0.445;0.0;1.4;0.053;11.0;178.0;0.99426;3.79;0.55;10.2;good
1868;7.4;0.21;0.27;7.3;0.031;41.0;144.0;0.9932;3.15;0.38;11.8;excellent
1974;7.5;0.26;0.26;18.35;0.084;33.0;139.0;1.0011;3.17;0.39;8.8;good
920;7.0;0.11;0.32;4.6;0.057;59.0;144.0;0.9956;3.55;0.44;9.4;excellent
568;6.1;0.26;0.51;2.2;0.05;61.0;154.0;0.9929;3.08;0.6;9.8;good
3752;6.5;0.26;0.34;1.4;0.04;25.0;184.0;0.99216;3.29;0.46;10.7;good
3737;7.1;0.21;0.72;1.6;0.16699999999999998;65.0;120.0;0.99324;2.97;0.51;9.2;good
4210;6.0;0.17;0.21;6.0;0.05;26.0;134.0;0.9939;3.08;0.54;9.8;good
4389;6.3;0.28;0.22;9.5;0.04;30.0;111.0;0.9933799999999999;3.05;0.31;10.8;poor
140;6.3;0.31;0.34;2.2;0.045;20.0;77.0;0.9927;3.3;0.43;10.2;good
3828;6.3;0.4;0.24;5.1;0.036000000000000004;43.0;131.0;0.9918600000000001;3.24;0.44;11.3;good
465;6.3;0.21;0.58;10.0;0.081;34.0;126.0;0.9962;2.95;0.46;8.9;good
1271;8.1;0.5;0.47;1.1;0.037000000000000005;23.0;126.0;0.9938;3.21;0.42;10.9;good
1548;7.1;0.36;0.24;1.8;0.025;32.0;102.0;0.9903;3.34;0.59;12.8;good
148;6.3;0.34;0.33;4.6;0.034;19.0;80.0;0.9917;3.38;0.58;12.0;excellent
3548;6.2;0.47;0.19;8.3;0.028999999999999998;24.0;142.0;0.992;3.22;0.45;12.3;good
262;6.9;0.28;0.4;8.2;0.036000000000000004;15.0;95.0;0.9944;3.17;0.33;10.2;good
2895;6.4;0.44;0.26;2.0;0.054000000000000006;20.0;180.0;0.9952;3.58;0.57;10.0;good
2431;6.3;0.29;0.14;7.05;0.045;50.0;177.0;0.99564;3.23;0.42;9.0;good
1170;7.7;0.25;0.43;4.5;0.062;20.0;115.0;0.9966;3.38;0.5;9.9;good
389;7.0;0.3;0.38;14.9;0.032;60.0;181.0;0.9983;3.18;0.61;9.3;excellent
914;8.0;0.32;0.26;1.2;0.05;11.5;88.0;0.9946;3.24;0.37;9.5;poor
4819;5.7;0.4;0.35;5.1;0.026000000000000002;17.0;113.0;0.9905200000000001;3.18;0.67;12.4;good
2845;6.5;0.22;0.29;7.4;0.027999999999999997;16.0;87.0;0.99311;3.15;0.56;10.9;excellent
532;7.4;0.25;0.36;13.2;0.067;53.0;178.0;0.9976;3.01;0.48;9.0;good
